row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
626,Gas Engine Type 4,Engine Block,Crankcase,Allow venting locations for coolant circuit,Air in the coolant circuit system,Engine cooling filling process,Overheating of system components due to air bubbles,,,,,
627,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Water jacket design,Oxidation of coolant leading to decreasing coolant efficiency,,,,,
628,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Water jacket design,Overheating of system components due to air bubbles,,,,,
629,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Coolant type and maintenance,Oxidation of coolant leading to decreasing coolant efficiency,,,,,
630,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Coolant type and maintenance,Overheating of system components due to air bubbles,,,,,
631,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Coolant system venting design/ strategy,Oxidation of coolant leading to decreasing coolant efficiency,,,,,
632,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Coolant system venting design/ strategy,Overheating of system components due to air bubbles,,,,,
633,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Engine cooling filling process,Oxidation of coolant leading to decreasing coolant efficiency,,,,,
634,Gas Engine Type 4,Engine Block,Crankcase,Ensure absence of air in coolant circuit,Air in the coolant circuit system,Engine cooling filling process,Overheating of system components due to air bubbles,,,,,
635,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Too low coolant feed to cylinder liner,Water jacket design,Overheating of cylinder leading to engine failure,,,,,
636,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Too low coolant feed to cylinder liner,Coolant type and maintenance,Overheating of cylinder leading to engine failure,,,,,
637,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water circuit design,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
638,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water jacket design,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
639,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant type and maintenance,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
640,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system venting design/ strategy,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
641,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Engine cooling filling process,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
642,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system flow rate,Overheating of cylinder liner and/or cylinder head leads to scuffing/cavitation,,,,,
643,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water circuit design,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
644,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water jacket design,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
645,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant type and maintenance,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
646,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system venting design/ strategy,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
647,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Engine cooling filling process,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
648,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system flow rate,Thermal distortion of cylinder liner & cylinder head leading to mechanical damage evtl. engine failure,,,,,
649,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water circuit design,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
650,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Water jacket design,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
651,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant type and maintenance,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
652,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system venting design/ strategy,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
653,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Engine cooling filling process,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
654,Gas Engine Type 4,Engine Block,Crankcase,Provide coolant flow route to cylinder liner,Local stagnation of coolant,Coolant system flow rate,Boiling and circulation of bubbles leading to thermal distortion of cylinder liner & cylinder head,,,,,
655,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Gas mixture leakage,Cylinder head interface design,Gas in environment,,,,,
656,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Gas mixture leakage over time,O-ring aging,Gas in environment,,,,,
657,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Lack of sealing,Bolted joint design,Gas in environment,,,,,
658,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Lack of sealing,Material plasticity,Gas in environment,,,,,
659,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Lack of sealing,Liquid sealing degradation,Gas in environment,,,,,
660,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Lack of sealing,Sealant / Gasket design,Gas in environment,,,,,
661,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Incorrect alignment,Cylinder head alignment strategy,Gas leakage through cylinder head gasket -> gas in the room and efficiency decrease,,,,,
662,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Degradation of sealing over time,O-ring aging,Gas in environment,,,,,
663,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Degradation of sealing over time,Bolted joint design,Gas in environment,,,,,
664,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Degradation of sealing over time,Sealant / Gasket aging,Gas in environment,,,,,
665,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Degradation of sealing over time,Sealant / Gasket design,Gas in environment,,,,,
666,Gas Engine Type 4,Engine Block,Crankcase,Seal against gas mixture leakages,Gas mixture leakage,Wrong maintenance activity plan,Gas in environment,,,,,
667,Gas Engine Type 4,Engine Block,Crankcase,Provide contact and fit to PCJ (Power Cylinder Joint),Misalignment of PCJ and crankcase,Crankcase structural design,Collision with crank train/power unit causing component failure,,,,,
668,Gas Engine Type 4,Engine Block,Crankcase,Provide contact and fit to PCJ (Power Cylinder Joint),Misalignment of PCJ and crankcase,Crankcase structural design,Improper cooling of piston,,,,,
669,Gas Engine Type 4,Engine Block,Crankcase,Provide contact and fit to PCJ (Power Cylinder Joint),Oil leakage through interface over time,O-ring aging,Oil pressure and flow decrease in the PCJ circuit (pressure drop),,,,,
670,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for sensors,Poor serviceability,Crankcase structural design,Faulty sensor function can lead to engine trip,,,,,
671,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for sensors,Poor serviceability,Sensor specification,Faulty sensor function can lead to engine trip,,,,,
672,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for sensors,Vibration is too high,Crankcase structural design,Faulty sensor function can lead to engine trip,,,,,
673,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for sensors,Vibration is too high,Sensor specification,Faulty sensor function can lead to engine trip,,,,,
674,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Lack of structure for support,Crankcase structural design deficiencies causing inadequate support of cable routing,Faulty sensor function can lead to engine trip due to improper cable routing and mechanical stress,,,,,
675,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Cable breakage to initial support,High vibration levels combined with insufficient mechanical protection leading to cable fatigue and breakage,Faulty sensor function can lead to engine trip due to loss of cable integrity,,,,,
676,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Poor serviceability of cable routing installation,Complex or inaccessible crankcase design hindering maintenance and cable servicing,Faulty sensor function can lead to engine trip due to inadequate cable maintenance and inspection,,,,,
677,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Vibration is too high affecting cable routing,Crankcase design leading to excessive vibration transmitted to cable harnesses,"Faulty sensor function can lead to engine trip, loosening of bolted joints, and premature cable failure",,,,,
678,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Incorrect cable routing path,Design or assembly errors placing cables near high-temperature or moving parts causing premature degradation,"Cable insulation breakdown causing short circuits, sensor faults, and potential engine trips",,,,,
679,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Unintended cable contact with crankcase edges,Lack of protective routing structure or sharp edges in crankcase design,Physical damage to cables leading to sensor malfunction and engine control system faults,,,,,
680,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Sticking or clogging of cable channels,"Contamination, corrosion, or deformation of cable routing paths within the crankcase",Restriction on cable movement during maintenance causing damage and sensor malfunctions,,,,,
681,Gas Engine Type 4,Engine Block,Crankcase,Provide installation space for cable routing,Fatigue failure from repeated bending at cable supports,Improper support spacing or material fatigue in supporting structures,Intermittent sensor signals causing engine control disruptions and restart failures,,,,,
682,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Crankcase design,Blow-by gas leak to environment,,,,,
683,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Assembly process / Design for assembly,Blow-by gas leak to environment,,,,,
684,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Bolted joint design,Blow-by gas leak to environment,,,,,
685,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),O-Ring design,Blow-by gas leak to environment,,,,,
686,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Corrosion due to humidity in the engine room,Blow-by gas leak to environment,,,,,
687,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Front/End cover design,Blow-by gas leak to environment,,,,,
688,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Geometry tolerances / wrong tolerance specification,Blow-by gas leak to environment,,,,,
689,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Lubrication system,Blow-by gas leak to environment,,,,,
690,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Oil pan,Blow-by gas leak to environment,,,,,
691,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Pipe design,Blow-by gas leak to environment,,,,,
692,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Sealant / Gasket design,Blow-by gas leak to environment,,,,,
693,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),TCA,Blow-by gas leak to environment,,,,,
694,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Crankcase design,Damage to secondary components,,,,,
695,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Assembly process / Design for assembly,Damage to secondary components,,,,,
696,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Bolted joint design,Damage to secondary components,,,,,
697,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),O-Ring design,Damage to secondary components,,,,,
698,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Corrosion due to humidity in the engine room,Damage to secondary components,,,,,
699,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Front/End cover design,Damage to secondary components,,,,,
700,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Geometry tolerances / wrong tolerance specification,Damage to secondary components,,,,,
701,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Lubrication system,Damage to secondary components,,,,,
702,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Oil pan,Damage to secondary components,,,,,
703,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Pipe design,Damage to secondary components,,,,,
704,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),Sealant / Gasket design,Damage to secondary components,,,,,
705,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Blow-by leakage (or the other way around),TCA,Damage to secondary components,,,,,
706,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Crankcase design,Coolant leak into environment,,,,,
707,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Assembly process / Design for assembly,Coolant leak into environment,,,,,
708,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Bolted joint design,Coolant leak into environment,,,,,
709,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,O-Ring design,Coolant leak into environment,,,,,
710,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Corrosion due to humidity in the engine room,Coolant leak into environment,,,,,
711,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Front/End cover design,Coolant leak into environment,,,,,
712,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Geometry tolerances / wrong tolerance specification,Coolant leak into environment,,,,,
713,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Lubrication system,Coolant leak into environment,,,,,
714,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Oil pan,Coolant leak into environment,,,,,
715,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Pipe design,Coolant leak into environment,,,,,
716,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Sealant / Gasket design,Coolant leak into environment,,,,,
717,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,TCA,Coolant leak into environment,,,,,
718,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Crankcase design,Loss of coolant pressure,,,,,
719,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Assembly process / Design for assembly,Loss of coolant pressure,,,,,
720,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Bolted joint design,Loss of coolant pressure,,,,,
721,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,O-Ring design,Loss of coolant pressure,,,,,
722,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Corrosion due to humidity in the engine room,Loss of coolant pressure,,,,,
723,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Front/End cover design,Loss of coolant pressure,,,,,
724,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Geometry tolerances / wrong tolerance specification,Loss of coolant pressure,,,,,
725,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Lubrication system,Loss of coolant pressure,,,,,
726,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Oil pan,Loss of coolant pressure,,,,,
727,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Pipe design,Loss of coolant pressure,,,,,
728,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Sealant / Gasket design,Loss of coolant pressure,,,,,
729,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,TCA,Loss of coolant pressure,,,,,
730,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Crankcase design,Coolant in oil,,,,,
731,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Assembly process / Design for assembly,Coolant in oil,,,,,
732,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Bolted joint design,Coolant in oil,,,,,
733,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,O-Ring design,Coolant in oil,,,,,
734,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Corrosion due to humidity in the engine room,Coolant in oil,,,,,
735,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Front/End cover design,Coolant in oil,,,,,
736,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Geometry tolerances / wrong tolerance specification,Coolant in oil,,,,,
737,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Lubrication system,Coolant in oil,,,,,
738,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Oil pan,Coolant in oil,,,,,
739,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Pipe design,Coolant in oil,,,,,
740,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,Sealant / Gasket design,Coolant in oil,,,,,
741,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Coolant leakage,TCA,Coolant in oil,,,,,
742,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Crankcase design,Oil leak into environment,,,,,
743,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Assembly process / Design for assembly,Oil leak into environment,,,,,
744,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Bolted joint design,Oil leak into environment,,,,,
745,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,O-Ring design,Oil leak into environment,,,,,
746,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Corrosion due to humidity in the engine room,Oil leak into environment,,,,,
747,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Front/End cover design,Oil leak into environment,,,,,
748,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Geometry tolerances / wrong tolerance specification,Oil leak into environment,,,,,
749,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Lubrication system,Oil leak into environment,,,,,
750,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Oil pan,Oil leak into environment,,,,,
751,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Pipe design,Oil leak into environment,,,,,
752,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Sealant / Gasket design,Oil leak into environment,,,,,
753,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,TCA,Oil leak into environment,,,,,
754,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Crankcase design,Loss of oil pressure,,,,,
755,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Assembly process / Design for assembly,Loss of oil pressure,,,,,
756,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Bolted joint design,Loss of oil pressure,,,,,
757,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,O-Ring design,Loss of oil pressure,,,,,
758,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Corrosion due to humidity in the engine room,Loss of oil pressure,,,,,
759,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Front/End cover design,Loss of oil pressure,,,,,
760,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Geometry tolerances / wrong tolerance specification,Loss of oil pressure,,,,,
761,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Lubrication system,Loss of oil pressure,,,,,
762,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Oil pan,Loss of oil pressure,,,,,
763,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Pipe design,Loss of oil pressure,,,,,
764,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,Sealant / Gasket design,Loss of oil pressure,,,,,
765,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Oil leakage,TCA,Loss of oil pressure,,,,,
766,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,O-Ring aging,Coolant/oil leak into environment,,,,,
767,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Bolted joint design,Coolant/oil leak into environment,,,,,
768,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Corrosion due to humidity in the engine room,Coolant/oil leak into environment,,,,,
769,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Sealant / Gasket aging,Coolant/oil leak into environment,,,,,
770,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Sealant / Gasket design,Coolant/oil leak into environment,,,,,
771,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Wrong maintenance activity plan,Coolant/oil leak into environment,,,,,
772,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,O-Ring aging,Loss of coolant/oil pressure,,,,,
773,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Bolted joint design,Loss of coolant/oil pressure,,,,,
774,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Corrosion due to humidity in the engine room,Loss of coolant/oil pressure,,,,,
775,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Sealant / Gasket aging,Loss of coolant/oil pressure,,,,,
776,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Sealant / Gasket design,Loss of coolant/oil pressure,,,,,
777,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Seals the crankcase,Degradation of sealing over time,Wrong maintenance activity plan,Loss of coolant/oil pressure,,,,,
778,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Crankcase design,Damage on interface components,,,,,
779,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Assembly process / Design for assembly,Damage on interface components,,,,,
780,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Bolted joint design,Damage on interface components,,,,,
781,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Front/End cover design,Damage on interface components,,,,,
782,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Damage on interface components,,,,,
783,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Pipe design,Damage on interface components,,,,,
784,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Crankcase design,Lack of stiffness (excessive movement),,,,,
785,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Assembly process / Design for assembly,Lack of stiffness (excessive movement),,,,,
786,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Bolted joint design,Lack of stiffness (excessive movement),,,,,
787,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Front/End cover design,Lack of stiffness (excessive movement),,,,,
788,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Lack of stiffness (excessive movement),,,,,
789,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Pipe design,Lack of stiffness (excessive movement),,,,,
790,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Crankcase design,Loosening of bolts,,,,,
791,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Assembly process / Design for assembly,Loosening of bolts,,,,,
792,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Bolted joint design,Loosening of bolts,,,,,
793,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Front/End cover design,Loosening of bolts,,,,,
794,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Geometry tolerances / wrong tolerance specification,Loosening of bolts,,,,,
795,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Insufficient structural support,Pipe design,Loosening of bolts,,,,,
796,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Vibration is too high,Crankcase design,Fatigue related damage on interface components,,,,,
797,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Vibration is too high,"Transient engine operation (start up, cool down)",Fatigue related damage on interface components,,,,,
798,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Vibration is too high,Assembly process / Design for assembly,Fatigue related damage on interface components,,,,,
799,Gas Engine Type 4,Engine Block,Front end housing (damper housing),Provides structural support,Vibration is too high,Bolted joint design,Fatigue related damage on interface components,,,,,
