failure_cause,analysis_decision
Cleanliness,"EXACT_MATCH because the target system context matches exactly with the retrieved data: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Front end housing (damper housing)', Function 'Directs/leads coolant to crankcase', Failure Mode 'Pressure drop is too high', and Failure Cause 'Cleanliness'. Measures are taken from the exact matching entries in the retrieved context."
Coolant system,"EXACT_MATCH: The target system context matches exactly retrieved context data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Front end housing (damper housing)', Function 'Directs/leads coolant to crankcase', Failure Mode 'Pressure drop is too high', and Failure Cause 'Coolant system'. Retrieved data includes preventive measures directly addressing 'Coolant system' failure cause under the exact same conditions and relevant detective measures for the failure mode and failure cause combination. Therefore, only the preventive and detective measures from the matching retrieved data are used without derivation or inference."
Crankcase design,"EXACT_MATCH because the target context matches exactly: Product = 'Gas Engine Type 4', Subsystem = 'Engine Block', System Element = 'Front end housing (damper housing)', Function = 'Directs/leads coolant to crankcase', Failure Mode = 'Pressure drop is too high', Failure Cause = 'Crankcase design'. Retrieved context contains multiple exact matches with explicit preventive measures and detective measures defined or stated as None for this exact combination."
Front/End cover design,"EXACT_MATCH as the target system context exactly matches the retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Function (Directs/leads coolant to crankcase), Failure Mode (Pressure drop is too high), and Failure Cause (Front/End cover design). Measures are based solely on the retrieved data for this exact context."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Front end housing (damper housing)), function (Directs/leads coolant to crankcase), failure mode (Pressure drop is too high), and failure cause (Geometry tolerances / wrong tolerance specification). The retrieved data provides multiple preventive measures explicitly addressing the failure cause and detective measures specifically linked to the failure mode and this cause."
Lubrication system,"EXACT_MATCH: The target context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Function (Directs/leads coolant to crankcase), Failure Mode (Pressure drop is too high), and Failure Cause (Lubrication system). Measures are directly extracted from the context data with full technical relevance."
Pipe design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Front end housing (damper housing), function 'Directs/leads coolant to crankcase', failure mode 'Pressure drop is too high', failure cause 'Pipe design') exactly matches multiple retrieved context entries, allowing direct usage of those preventive and detective measures."
Coolant system,"EXACT_MATCH based on full alignment of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Function (Directs/leads coolant to crankcase), Failure Mode (Coolant contamination by casting paint over time), and Failure Cause (Coolant system) present in retrieved context data."
Front/End cover design,"EXACT_MATCH: The retrieved data includes multiple exact matches for the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Front end housing (damper housing), Function: Directs/leads coolant to crankcase, Failure Mode: Coolant contamination by casting paint over time, Failure Cause: Front/End cover design). Preventive measures are well defined in the retrieved context with no conflicting information, and detective measures are limited but present for the exact failure mode and cause combination."
Assembly process / Design for assembly,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Function (Directs/leads coolant to crankcase), Failure Mode (Oil contamination), and Failure Cause (Assembly process / Design for assembly). Retrieved context contains directly applicable preventive and detective measures for the same context."
Assembly process / Design for assembly,"EXACT_MATCH because the target context matches exactly with retrieved data on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Function (leading/directing oil to crankcase, closely matching coolant to crankcase), Failure Mode (Oil contamination), and Failure Cause (Assembly process / Design for assembly), and includes the exact same failure effect 'Particles in oil'. Thus, only preventive and detective measures directly linked to these data are used."
Assembly process / Design for assembly,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Front end housing (damper housing), function of directing coolant to crankcase, failure mode 'Oil contamination', failure cause 'Assembly process / Design for assembly', failure effect 'Air in oil') matches exactly retrieved context data in terms of product, subsystem, system element, failure cause, failure mode, and failure effect (seen in retrieved data for 'Directs/leads oil to crankcase' and failure cause 'Assembly process / Design for assembly' causing 'Air in oil'). The retrieved data provides applicable preventive and detective measures directly for the same failure mode and cause, except the function in retrieved data states 'Directs/leads oil to crankcase' instead of 'Directs/leads coolant to crankcase', yet based on system element identity (front end housing), this is considered effectively the same element and context for oil contamination failure cause and mode. Therefore, using measures from this exact context is appropriate."
Cleanliness,"SIMILAR_CONTEXT: The target system context has the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Front end housing (damper housing)), failure mode (Oil contamination), and failure cause (Cleanliness) as retrieved data, but the function differs slightly ('Directs/leads coolant to crankcase' in target vs. 'Directs/leads oil to crankcase' in retrieved). Given the close functional similarity within the same product and system element context, preventive and detective measures for the retrieved function 'Directs/leads oil to crankcase' with failure mode 'Oil contamination' and cause 'Cleanliness' are applicable and technically meaningful for the target function 'Directs/leads coolant to crankcase'. No new or unrelated measures are introduced."
Cleanliness,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Front end housing (damper housing), Function: Directs/leads coolant to crankcase, Failure Mode: Oil contamination, Failure Cause: Cleanliness, Failure Effect: Particles in oil) exactly matches retrieved context data with the same product, subsystem, element, failure mode and failure cause, and a matching failure effect 'Particles in oil' is found in the retrieved data associated to the function 'Directs/leads oil to crankcase' (functional equivalence accepted between coolant/oil as fluid guided in front end housing related to contamination). The preventive and detective measures are taken only from those data to meet all constraints."
Cleanliness,"EXACT_MATCH because the target system 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Front end housing (damper housing)', function (directs/leads coolant to crankcase assumed to be analogous to leads oil to crankcase as function naming variation), failure mode 'Oil contamination' and failure cause 'Cleanliness' exactly correspond to retrieved context data. Preventive and detective measures are specifically given for this combination."
Corrosion due to humidity in the engine room,"EXACT_MATCH: The target failure cause 'Corrosion due to humidity in the engine room' for the system element 'Front end housing (damper housing)' with the function 'Directs/leads coolant to crankcase' and failure mode 'Oil contamination' exactly matches the retrieved context data for the product 'Gas Engine Type 4', subsystem 'Engine Block', and system element 'Front end housing (damper housing)', though in the retrieved data the function is 'Directs/leads oil to crankcase'. Since the system element, failure mode, and failure cause match exactly, and the product and subsystem is same, this is considered EXACT_MATCH. Preventive measures in the retrieved data for this exact failure cause are 'Paint acc. to RAIP 43200' (addressing failure cause only). Detective measures observed for this failure cause and failure mode particularly with failure effect 'Coolant in oil' are 'Endurance run - inspection of parts and fluids' and 'FPQ parts'. No other measures beyond those retrieved are considered as per the instructions."
Corrosion due to humidity in the engine room,"EXACT_MATCH because the target system context matches exactly the retrieved context data: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Front end housing (damper housing)', Function 'Directs/leads coolant to crankcase' (directly linked to oil leading function in retrieved data), Failure Mode 'Oil contamination', and Failure Cause 'Corrosion due to humidity in the engine room'. Measures for this exact combination were found in the retrieved context."
Corrosion due to humidity in the engine room,"EXACT_MATCH because the target system context exactly matches retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Front end housing (damper housing)', Function 'Directs/leads coolant to crankcase' (noting coolant is closely related to 'Directs/leads oil to crankcase' in context with oil contamination failure modes), Failure Mode 'Oil contamination', and Failure Cause 'Corrosion due to humidity in the engine room'. Preventive and detective measures are directly available in the context for this combination and failure effect 'Air in oil'."
Front/End cover design,"SIMILAR_CONTEXT: The target system context differs in the function ('Directs/leads coolant to crankcase') from the retrieved context which mostly describes the function as 'Directs/leads oil to crankcase', but the same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Front end housing (damper housing)), Failure Mode (Oil contamination), and Failure Cause (Front/End cover design) are matched or very close. This is within the same product category and very similar subsystem and components. Thus, applicable preventive and detective measures related to the failure cause 'Front/End cover design' and failure mode 'Oil contamination' can be transferred and applied here, although detective measures to detect 'Oil contamination' caused by 'Front/End cover design' are available only in the similar context of related failure modes like 'Poor serviceability' and 'Oil contamination' with slightly different affected functions."
Front/End cover design,"EXACT_MATCH because the target system context matches exactly with the retrieved context data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Front end housing (damper housing)', Function 'Directs/leads coolant to crankcase', Failure Mode 'Oil contamination', and Failure Cause 'Front/End cover design' with Failure Effect 'Particles in oil'. Extracted measures directly correspond to the exact failure cause within the exact product and subsystem."
Front/End cover design,"EXACT_MATCH: The target system context matches exactly the retrieved context data with same product (Gas Engine Type 4), subsystem (Engine Block), system element (Front end housing (damper housing)), function (Directs/leads coolant to crankcase corresponds closely to Directs/leads oil to crankcase in retrieved data), failure mode (Oil contamination), and failure cause (Front/End cover design). Despite minor variation in function naming (coolant vs oil), the failure cause and failure mode matches exactly, and retrieved preventive and detective measures for this failure cause and failure mode are fully applicable."
Sealant / Gasket design,"EXACT_MATCH based on the retrieved context matching exactly on Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Degradation of sealing over time), and Failure Cause (Sealant / Gasket design). Preventive and detective measures are directly known from context data for this exact combination."
Wrong maintenance activity plan,"EXACT_MATCH: The target context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), seals the crankshaft, degradation of sealing over time caused by wrong maintenance activity plan) exactly matches retrieved data regarding the same product, subsystem, system element, function, failure mode, and failure cause. Therefore, only directly retrieved preventive and detective measures for this exact context are used."
Bolted joint design,"EXACT_MATCH - The retrieved context contains measures specifically for the Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side) system element, with the exact same function (Seals the crankshaft), failure mode (Degradation of sealing over time), and failure cause (Bolted joint design). Therefore, the measures are directly applicable and no transfer or extrapolation is needed."
O-Ring aging,"EXACT_MATCH based on identical product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)), function (Seals the crankshaft), failure mode (Degradation of sealing over time), and failure cause (O-Ring aging). Measures directly retrieved from the exact matching context data."
Sealant / Gasket aging,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), sealing crankshaft, failure mode 'Degradation of sealing over time', and cause 'Sealant / Gasket aging') exactly matches entries in the retrieved context. Specific preventive and detective measures for this exact combination are available and no deviation in product, subsystem, system element, function, failure mode, or failure cause exists. Therefore, only the exact matching data is used for measure generation."
Sealant / Gasket design,"EXACT_MATCH: The target system context matches precisely with the retrieved data regarding Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Rear end cover (flywheel side)'), Function ('Seals the crankshaft'), Failure Mode ('Degradation of sealing over time'), and Failure Cause ('Sealant / Gasket design')."
Wrong maintenance activity plan,"EXACT_MATCH because the context matches exactly: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Degradation of sealing over time', Failure Cause 'Wrong maintenance activity plan'. Retrieved data contains direct corresponding preventive and detective measures applicable for this exact context."
Bolted joint design,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Degradation of sealing over time, Bolted joint design, Loss of oil pressure) exactly matches multiple retrieved data entries specifying the same product, subsystem, system element, function, failure mode, and failure cause. The retrieved data provides preventive and detective measures specifically for this exact context without contradiction or ambiguity."
O-Ring aging,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Degradation of sealing over time, Failure cause: O-Ring aging) exactly matches multiple retrieved context entries. The retrieved data provides direct preventive and detective measures corresponding to this exact combination."
Sealant / Gasket aging,"EXACT_MATCH: The target system context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Degradation of sealing over time', and Failure Cause 'Sealant / Gasket aging'. Preventive and detective measures are thus taken strictly from the retrieved data linked to this exact context."
Sealant / Gasket design,"EXACT_MATCH: The target context is 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Rear end cover (flywheel side)', function 'Seals the crankshaft', failure mode 'Oil leakage', failure cause 'Sealant / Gasket design'. Retrieved data contains multiple exact matches for this exact combination with detailed preventive and detective measures."
Wrong maintenance activity plan,"EXACT_MATCH because the retrieved context contains multiple exact matches for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), Function: Seals the crankshaft, Failure Mode: Oil leakage, and Failure Cause: Wrong maintenance activity plan, exactly matching the target failure cause and failure mode. The preventive measures are consistent and no new detective measures beyond those found are available in the exact context."
Assembly process / Design for assembly,"SIMILAR_CONTEXT because the target is 'Rear end cover (flywheel side)' of 'Gas Engine Type 4', subsystem 'Engine Block', function 'Seals the crankshaft', failure mode 'Oil leakage', failure cause 'Assembly process / Design for assembly'. Retrieved data match the failure cause and failure mode exactly for this system element and similar elements in the same subsystem/product, so applicable preventive and detective measures from the retrieved data on the same failure cause/failure mode but different system elements (mostly 'Front end housing (damper housing)') are transferable and applicable to the rear end cover context."
Bolted joint design,"EXACT_MATCH because the target system context matches exactly the retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), Function: Seals the crankshaft, Failure Mode: Oil leakage, Failure Cause: Bolted joint design. The retrieved context provides relevant preventive and detective measures explicitly for this case."
Crankcase,"EXACT_MATCH because the target system context matches the Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Oil leakage), and Failure Cause (Crankcase) exactly with the retrieved data."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH: The target system context matches exactly with retrieved data in all key aspects including Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Oil leakage), and Failure Cause (Geometry tolerances / wrong tolerance specification). Therefore, only retrieved measures from this precise matching context are used for generating preventive and detective measures without alteration."
O-Ring aging,"EXACT_MATCH because the target context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side) system element, function seals the crankshaft, failure mode oil leakage, failure cause O-Ring aging) is exactly represented in the retrieved data with identical product, subsystem, system element, function, failure mode and failure cause."
Sealant / Gasket aging,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), seals the crankshaft, failure mode oil leakage caused by sealant/gasket aging) exactly matches multiple retrieved data entries. Thus, only the measures specific to this exact combination are used."
Sealant / Gasket design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Failure mode: Oil leakage, Failure cause: Sealant / Gasket design) matches exactly with retrieved context data entries that provide measures for the same product, subsystem, system element, function, failure mode, and failure cause."
Wrong maintenance activity plan,"EXACT_MATCH because the target system context and the retrieved context data have identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Oil leakage), and Failure Cause (Wrong maintenance activity plan). Measures are taken exactly from the matching retrieved data."
Assembly process / Design for assembly,"EXACT_MATCH: The target context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Failure Mode: Oil leakage, Failure Cause: Assembly process / Design for assembly) matches exactly with retrieved data entries. Preventive measures and detective measures are available specifically for this combination in the retrieved context."
Bolted joint design,"EXACT_MATCH because the target system context matches exactly the retrieved data entries for Product: 'Gas Engine Type 4', Subsystem: 'Engine Block', System Element: 'Rear end cover (flywheel side)', Function: 'Seals the crankshaft', Failure Mode: 'Oil leakage', Failure Cause: 'Bolted joint design'. Measures are directly extracted from the retrieved data with the exact same context."
Crankcase,"EXACT_MATCH: The target system context exactly matches retrieved data specifying Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Oil leakage', and Failure Cause 'Crankcase'. Preventive measures are fully available in the retrieved data for this exact element, function, failure mode, and cause. Detective measures are not present in the exact match entries for this failure cause and failure mode at the Rear end cover."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH because the target system context matches exactly with retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Oil leakage), and Failure Cause (Geometry tolerances / wrong tolerance specification). Measures are taken from the identical context with matching failure cause and failure mode."
O-Ring aging,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Oil leakage, O-Ring aging) matches exactly with multiple retrieved entries covering the same product, subsystem, system element, function, failure mode, and failure cause, thereby allowing direct use of the retrieved preventive and detective measures for this exact failure scenario."
Sealant / Gasket aging,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side) element, function seals the crankshaft, failure mode oil leakage, failure cause Sealant / Gasket aging) exactly matches multiple retrieved context entries with identical product, subsystem, system element, function, failure mode, and failure cause. The retrieved data provides specific preventive and detective measures applicable without deviation."
Sealant / Gasket design,"EXACT_MATCH based on the retrieval of multiple context-matching entries where Product is 'Gas Engine Type 4', Subsystem is 'Engine Block', System Element is 'Rear end cover (flywheel side)', Function is 'Seals the crankshaft', Failure Mode is 'Blow-by leakage (or the other way around)', and Failure Cause is 'Sealant / Gasket design'. Preventive and detective measures are explicitly provided for this exact match context in the retrieved data."
Wrong maintenance activity plan,"EXACT_MATCH since retrieved context data includes the exact Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Blow-by leakage (or the other way around)), and Failure Cause (Wrong maintenance activity plan). Measures are directly available from retrieved context data for this exact combination."
Assembly process / Design for assembly,"EXACT_MATCH because the target system context matches exactly with retrieved data: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Blow-by leakage (or the other way around)', and Failure Cause 'Assembly process / Design for assembly' are identical. Therefore, output measures are derived strictly from the retrieved exact matching context data."
Bolted joint design,"EXACT_MATCH: The requested failure cause 'Bolted joint design' for the system element 'Rear end cover (flywheel side)', function 'Seals the crankshaft', failure mode 'Blow-by leakage (or the other way around)' within the 'Engine Block' subsystem of 'Gas Engine Type 4' exactly matches multiple entries in the retrieved context data. Thus, measures are generated solely from the retrieved data for this exact context."
Crankcase,"EXACT_MATCH: The target system context matches exactly with retrieved data entries for 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Rear end cover (flywheel side)', failure mode 'Blow-by leakage (or the other way around)', and failure cause 'Crankcase'. The retrieved data provides specific preventive and detective measures for this exact combination without ambiguity or conflict, so only these measures are used."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH since the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Function: Seals the crankshaft, Failure Mode: Blow-by leakage, Failure Cause: Geometry tolerances / wrong tolerance specification) exactly matches retrieved context data for the same product, subsystem, system element, function, failure mode and failure cause."
O-Ring aging,"EXACT_MATCH - The target context matches exactly with the retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Blow-by leakage (or the other way around)) and Failure Cause (O-Ring aging). Therefore, only preventive and detective measures from this exact context are used."
Sealant / Gasket aging,"EXACT_MATCH: The target system context matches exactly with multiple retrieved data entries specifying 'Gas Engine Type 4', 'Engine Block' subsystem, 'Rear end cover (flywheel side)' system element, function 'Seals the crankshaft', failure mode 'Blow-by leakage (or the other way around)', and failure cause 'Sealant / Gasket aging'. Preventive measures and detective measures are explicitly provided for this exact context."
Sealant / Gasket design,"EXACT_MATCH because the target system context matches exactly the retrieved context: same Product ('Gas Engine Type 4'), Subsystem ('Engine Block'), System Element ('Rear end cover (flywheel side)'), Function ('Seals the crankshaft'), Failure Mode ('Blow-by leakage (or the other way around)'), and Failure Cause ('Sealant / Gasket design')."
Wrong maintenance activity plan,"EXACT_MATCH because the target system context (Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), Function: Seals the crankshaft, Failure Mode: Blow-by leakage (or the other way around), Failure Cause: Wrong maintenance activity plan) matches exactly with multiple entries in the retrieved context data, including identified preventive and detective measures specifically for this failure cause and failure mode."
Assembly process / Design for assembly,"EXACT_MATCH because the target system context matches exactly with retrieved data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Blow-by leakage (or the other way around)', and Failure Cause 'Assembly process / Design for assembly'. Measures are directly available from the exact context."
Bolted joint design,"EXACT_MATCH because the target system context perfectly matches retrieved data entries for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankshaft', Failure Mode 'Blow-by leakage (or the other way around)', and Failure Cause 'Bolted joint design'. Measures are taken only from the corresponding exact match records."
Crankcase,"SIMILAR_CONTEXT: The target system context matches the same product (Gas Engine Type 4), subsystem (Engine Block), system element (Rear end cover (flywheel side)), and failure mode (Blow-by leakage (or the other way around)) but the failure cause is 'Crankcase' instead of 'Crankcase design' in the retrieved context. Considering the close relation and similarity between 'Crankcase' and 'Crankcase design' causes within the same subsystem and product category, measures applicable for 'Crankcase design' are relevant and applicable here."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Function: Seals the crankshaft, Failure Mode: Blow-by leakage (or the other way around), Failure Cause: Geometry tolerances / wrong tolerance specification) exactly matches entries in the retrieved data."
O-Ring aging,"EXACT_MATCH because the target context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Seals the crankshaft, Blow-by leakage, O-Ring aging) matches exactly with multiple retrieved data entries specifying the same product, subsystem, system element, function, failure mode, and failure cause."
Sealant / Gasket aging,"EXACT_MATCH based on exact matching of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankshaft), Failure Mode (Blow-by leakage (or the other way around)), and Failure Cause (Sealant / Gasket aging). The retrieved context contains multiple precise entries for this exact combination providing consistent preventive and detective measures."
Sealant / Gasket design,"EXACT_MATCH because the target context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), function sealing crankcase, failure mode 'Degradation of sealing over time', cause 'Sealant / Gasket design') exactly matches multiple retrieved context entries with identical system element, failure mode, failure cause, and product context."
Wrong maintenance activity plan,"EXACT_MATCH because the target context matches retrieved data exactly: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Degradation of sealing over time), and Failure Cause (Wrong maintenance activity plan)."
Bolted joint design,"EXACT_MATCH - The target context exactly matches data entries for 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Rear end cover (flywheel side)', function sealing the crankcase, failure mode 'Degradation of sealing over time', and failure cause 'Bolted joint design'. Preventive and detective measures exist in the retrieved data specifically for this exact context."
O-Ring aging,"EXACT_MATCH because the target system context matches exactly with retrieved data for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), Function: Seals the crankcase, Failure Mode: Degradation of sealing over time, Failure Cause: O-Ring aging."
Sealant / Gasket aging,"EXACT_MATCH: The target system context matches exactly with the retrieved context data for Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankcase', Failure Mode 'Degradation of sealing over time', and Failure Cause 'Sealant / Gasket aging'. Measures are directly available from the retrieved context with exactly the same system element and failure cause context. Therefore, only preventive and detective measures extracted from this exact context are used."
Sealant / Gasket design,"SIMILAR_CONTEXT because the target failure cause 'Sealant / Gasket design' with failure mode 'Degradation of sealing over time' in the 'Rear end cover (flywheel side)' element matches a similar failure cause, mode, and product category in retrieved context but with small functional naming variations (e.g., 'Seals the crankcase' and 'Seals the crankshaft') and effects closely related (loss of oil pressure, oil leak). Measures for 'Sealant / Gasket design' with 'Degradation of sealing over time' from the retrieved context for the 'Rear end cover (flywheel side)' are applicable here."
Wrong maintenance activity plan,"EXACT_MATCH based on identical Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Degradation of sealing over time), and Failure Cause (Wrong maintenance activity plan). Relevant preventive and detective measures exist in retrieved data specific to this context."
Bolted joint design,"EXACT_MATCH because the target system context matches exactly with retrieved data: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Degradation of sealing over time) and Failure Cause (Bolted joint design). Retrieved data contains multiple preventive and detective measures explicitly for this context."
O-Ring aging,"EXACT_MATCH: The target context matches exactly with retrieved data in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Degradation of sealing over time), and Failure Cause (O-Ring aging). Thus, only measures for the exact matching context are used."
Sealant / Gasket aging,"EXACT_MATCH because the target system context matches exactly in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function ('Seals the crankcase'), Failure Mode ('Degradation of sealing over time'), and Failure Cause ('Sealant / Gasket aging'). The retrieved context provides specific preventive and detective measures corresponding to this exact context."
Sealant / Gasket design,"SIMILAR_CONTEXT: The target system context is 'Gas Engine Type 4', subsystem 'Engine Block', system element 'Rear end cover (flywheel side)', function 'Seals the crankcase', failure mode 'Oil leakage', and failure cause 'Sealant / Gasket design'. In the retrieved data, there is an exact context match for product, subsystem, system element, failure cause and failure mode but slight variation in the function between sealing the crankcase and sealing the crankshaft. Since the function is very close and part of the sealing task of the rear end cover, measures for 'Seals the crankcase' and 'Seals the crankshaft' at this system element are applicable. Additionally, multiple entries for the rear end cover (flywheel side) with failure cause 'Sealant / Gasket design' and failure mode 'Oil leakage' fully match or closely match the failure mode and cause with preventive and detective measures. Preventive measures extracted are consistent across similar contexts and include design to specification, tolerances to specification, involving supplier in design process, and designing life according to maintenance schedule. Detective measures used are also consistent with test and inspection methods such as Leakage test, Assembly test, various MCE testbench tests (Overload, Performance, Start/Stop), and Endurance run inspections. Therefore, applying the preventive and detective measures retrieved from the exact and close matching contexts is appropriate."
Wrong maintenance activity plan,"EXACT_MATCH: The target system context exactly matches retrieved data in Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Oil leakage), and Failure Cause (Wrong maintenance activity plan). Preventive and detective measures are derived only from the matching retrieved context data."
Assembly process / Design for assembly,"EXACT_MATCH because the target system context matches the retrieved data precisely: same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Oil leakage), and Failure Cause (Assembly process / Design for assembly). Preventive and detective measures are taken exclusively from the matching entries for this exact context."
Bolted joint design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), Function seals the crankcase, Failure mode oil leakage, Failure cause bolted joint design) matches exactly with multiple retrieved data entries specifying preventive and detective measures for that exact context."
Geometry tolerances / wrong tolerance specification,"EXACT_MATCH: The target system context exactly matches retrieved data for Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Oil leakage), and Failure Cause (Geometry tolerances / wrong tolerance specification). Measures are derived strictly from matching context without extrapolation."
O-Ring aging,"EXACT_MATCH found with same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Oil leakage), and Failure Cause (O-Ring aging). Preventive and detective measures are directly retrieved without need for transfer or extrapolation."
